permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,total_new_add_footage,total_job_valuation,dd,legal_description,lat,lng
2015-008606 BP,R- 101 Single Family Houses,New,1509 BERLIN LN,1/26/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Final,3134,132660,1,LOT 11 BLK B RETREAT AT TECH RIDGE SEC 1 THE,30.39482027,-97.64826719
2015-111677 BP,R- 101 Single Family Houses,New,1420 VERDANA DR,9/16/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,2961,144720,1,LOT 27 BLK B RETREAT AT TECH RIDGE SEC 1 THE,30.39486505,-97.64909262
2015-039169 BP,R- 101 Single Family Houses,New,1429 BERLIN LN,4/9/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Final,2507,113700,1,LOT 8 BLK B RETREAT AT TECH RIDGE SEC 1 THE,30.39501033,-97.64866025
2015-015179 BP,R- 101 Single Family Houses,New,3104 ORTMAN DR,2/10/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,3099,162030,1,LOT 8 BLK C CANTARRA SEC IIB-1 SUBD,30.39501746,-97.61955331
2015-073910 BP,R- 329 Res Structures Other Than Bldg,New,8101 CHARDONNAY CV,6/23/2015,Inground swimming pool w/ req'd enclosure device for existing 2 story SF res,Active,640,25000,0,,30.39509273,-97.79968074
2015-049149 BP,R- 101 Single Family Houses,New,1421 BERLIN LN,4/29/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Final,2396,113520,1,LOT 6 BLK B RETREAT AT TECH RIDGE SEC 1 THE,30.39513814,-97.64892638
2015-003985 BP,R- 101 Single Family Houses,New,1512 BERLIN LN,1/13/2015,"**VOL BUILD PROJECT** New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Final,3134,132660,1,LOT 20 BLK A RETREAT AT TECH RIDGE SEC 1 THE,30.39515166,-97.64789309
2015-039065 BP,R- 101 Single Family Houses,New,1417 BERLIN LN,4/7/2015,"New 2-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Final,3525,173880,1,LOT 5 BLK B RETREAT AT TECH RIDGE SEC 1 THE,30.39519718,-97.64904636
2015-039148 BP,R- 101 Single Family Houses,New,1508 BERLIN LN,4/9/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Final,2396,113520,1,LOT 19 BLK A RETREAT AT TECH RIDGE SEC 1 THE,30.39521838,-97.64801462
2015-038204 BP,C- 326 Schools & Other Educational Bldgs,New,10819 FM 2222 RD,4/7/2015,New Construction Private Educational Facility.,Active,16050,2340000,1,,30.39526277,-97.84839367
2015-037691 BP,R- 101 Single Family Houses,New,1413 BERLIN LN,4/6/2015,"New 1-story single-family residence, attached garage, covered entry porch and patio. **VOL BUILD PROJECT**",Final,2460,98560,1,LOT 4 BLK B RETREAT AT TECH RIDGE SEC 1 THE,30.39526725,-97.64918189
2015-129773 BP,R- 101 Single Family Houses,New,12600 LUCIDA LN,10/28/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2637,135785,1,LOT 6 BLK A RETREAT AT TECH RIDGE SEC 1 THE,30.39529358,-97.65014886
2015-069452 BP,R- 101 Single Family Houses,New,1405 BERLIN LN,6/10/2015,"New 2-story single-family residence, attached garage, covered entry porch",Active,2856,144180,1,LOT 2 BLK B RETREAT AT TECH RIDGE SEC 1 THE,30.39539033,-97.6494411
2015-083170 BP,R- 101 Single Family Houses,New,12604 LUCIDA LN,7/13/2015,"New 1-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2106,101640,1,LOT 7 BLK A RETREAT AT TECH RIDGE SEC 1 THE,30.39539733,-97.65008648
2015-138417 BP,R- 101 Single Family Houses,New,1401 BERLIN LN,11/18/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3525,188370,1,LOT 1 BLK B RETREAT AT TECH RIDGE SEC 1 THE,30.39545731,-97.64957496
2015-079762 BP,R- 101 Single Family Houses,New,12608 LUCIDA LN,7/2/2015,"New 2-story single-family residence, attached garage, covered porch and patio. **VOLUME BUILDER**",Active,2986,132660,1,LOT 8 BLK A RETREAT AT TECH RIDGE SEC 1 THE,30.39550858,-97.65001728
2015-003967 BP,R- 101 Single Family Houses,New,1420 BERLIN LN,1/13/2015,"**VOL BUILD PROJECT** New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Final,3045,132660,1,LOT 14 BLK A RETREAT AT TECH RIDGE SEC 1 THE,30.39553457,-97.64866681
2015-063736 BP,R- 101 Single Family Houses,New,1416 BERLIN LN,5/28/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,2931,144180,1,LOT 13 BLK A RETREAT AT TECH RIDGE SEC 1 THE,30.39559682,-97.64879375
2015-057266 BP,R- 101 Single Family Houses,New,12612 LUCIDA LN,5/14/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Active,3314,167820,1,LOT 9 BLK A RETREAT AT TECH RIDGE SEC 1 THE,30.39562164,-97.64994363
2015-029893 BP,C- 329 Com Structures Other Than Bldg,New,2600 ESPERANZA XING,3/19/2015,New Construction of Secondary Swimming Pool,Active,1700,35000,0,7.0874 A OF LOT 6 BLK A IBM SUBD EAST RESUB OF LOT 1A BLK A AMENDED PLAT OF LOTS 1&2 BLK A,30.39679279,-97.71703831
2015-029893 BP,C- 329 Com Structures Other Than Bldg,New,2600 ESPERANZA XING,3/19/2015,New Construction of Secondary Swimming Pool,Active,1700,35000,0,7.0874 A OF LOT 6 BLK A IBM SUBD EAST RESUB OF LOT 1A BLK A AMENDED PLAT OF LOTS 1&2 BLK A,30.39679279,-97.71703831
2015-087797 BP,"C- 213 Hotels, Motels, & Tourist Cabins",New,11301 BURNET RD,7/24/2015,New Construction of New Hotel contact Ed @ 254-534-0352,Active,88315,14273375,132,10.7578 A OF LOT 7 BLK A IBM SUBD EAST RESUB OF LOT 1A BLK A AMENDED PLAT OF LOTS 1&2 BLK A,30.39717636,-97.71910714
2015-029796 BP,"C- 324 Office, Bank & Professional Bldgs",New,11305 ALTERRA PKWY,5/6/2015,New Construction of Office Building contact Mark @ 210 296 1500,Active,76480,7400000,0,,30.39811632,-97.72029593
2015-035432 BP,C- 327 Stores & Customer Services,New,11228 DOMAIN DR,3/31/2015,New Construction Restaurant,Active,5092,720000,0,,30.39903655,-97.72580197
2015-056552 BP,C- 325 Public Works & Utilities Bldgs,New,12715 1/2 HARRISGLENN DR,5/20/2015,New Telecommunication Fiber Hut & Chain link security fence,Active,325,33700,1,LOT 1 BLK D HARRIS RIDGE PHS 3 SEC 3,30.39910711,-97.65308264
2015-135389 BP,R- 101 Single Family Houses,New,7009 CUT PLAINS TRL,11/12/2015,"New 1-story Condominium Residence with attached garage, covered entry porch, and rear patio. **CONDOMINIUM PROJECT**",Active,2483,139650,1,,30.39954574,-97.84353076
2015-107197 BP,R- 101 Single Family Houses,New,10713 TWISTED ELM DR,9/10/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2449,183675,1,,30.39956009,-97.84338404
2015-035937 BP,R- 101 Single Family Houses,New,7002 CUT PLAINS TRL,4/15/2015,"New Two-story Condominium Residence with attached garage, covered patio and porch. **CONDOMINIUM PROJECT**",Active,3799,284925,1,,30.39957098,-97.84411417
2015-068554 BP,R- 101 Single Family Houses,New,10707 TWISTED ELM DR,7/16/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2449,183675,1,,30.39961123,-97.8429499
2015-075475 BP,R- 101 Single Family Houses,New,10705 TWISTED ELM DR,7/16/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,2492,186900,1,,30.39962849,-97.84280624
2015-068491 BP,R- 101 Single Family Houses,New,10703 TWISTED ELM DR,7/16/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2464,184800,1,,30.39964574,-97.84266147
2015-002622 BP,R- 101 Single Family Houses,New,10701 TWISTED ELM DR,1/12/2015,"New Two-story Condominium Residence with attached garage, covered patio and porch. **CONDOMINIUM PROJECT**",Final,3482,261150,1,,30.39966112,-97.84251896
2015-128030 BP,R- 101 Single Family Houses,New,7004 CUT PLAINS TRL,10/23/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,3247,243525,1,,30.39967533,-97.84402967
2015-003113 BP,R- 101 Single Family Houses,New,10605 TWISTED ELM DR,1/12/2015,"New One-story Condominium Residence with attached garage, covered patio and porch. **CONDOMINIUM PROJECT**",Final,2449,183675,1,,30.39967929,-97.84237307
2015-012671 BP,R- 101 Single Family Houses,New,10603 TWISTED ELM DR,2/4/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,3267,245025,1,,30.39969558,-97.84222833
2015-003126 BP,R- 101 Single Family Houses,New,10601 TWISTED ELM DR,1/12/2015,"New One-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM PROJECT**",Active,2449,183675,1,,30.3997148,-97.84208683
2015-002604 BP,R- 101 Single Family Houses,New,7006 CUT PLAINS TRL,1/12/2015,"New One-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM PROJECT**",Final,2449,183675,1,,30.39977999,-97.84396005
2015-027673 BP,C- 321 Pkg Garage Bldg & Open Deck,New,10901 STONELAKE BLVD,3/13/2015,New Construction Parking Garage (4 Levels).,Active,190300,3500000,1,ABS 659 SUR 19 ROGERS J ACR 5.939,30.39995244,-97.73695436
2015-146550 BP,R- 101 Single Family Houses,New,10706 TWISTED ELM DR,12/10/2015,"***12/09/15 need water taps***New 1-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2483,139650,1,,30.399971,-97.84298901
2015-059026 BP,R- 101 Single Family Houses,New,7301 PRESERVE VIEW RUN,5/20/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3799,284925,1,,30.39998504,-97.8421845
2015-002626 BP,R- 101 Single Family Houses,New,10704 TWISTED ELM DR,1/12/2015,"New Two-story Condominium Residence with attached garage, covered patio and porch. **CONDOMINIUM PROJECT**",Final,3286,246450,1,,30.39998826,-97.8428448
2015-036003 BP,R- 101 Single Family Houses,New,10910 HIDDEN CAVES WAY,3/31/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3176,238200,1,,30.40010724,-97.84565913
2015-135225 BP,R- 101 Single Family Houses,New,7303 PRESERVE VIEW RUN,11/12/2015,"New 1-story Condominium Residence with attached garage, covered entry porch, and rear patio. **CONDOMINIUM PROJECT**",Active,2449,136875,1,,30.40010946,-97.84219891
2015-002599 BP,R- 101 Single Family Houses,New,7100 CUT PLAINS TRL,1/12/2015,"New One-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM PROJECT**",Final,2550,191250,1,,30.40011329,-97.84371513
2015-010236 BP,R- 101 Single Family Houses,New,7205 PUZZLE PATH,2/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Final,3286,246450,1,,30.40021267,-97.84441288
2015-058518 BP,R- 101 Single Family Houses,New,7304 PRESERVE VIEW RUN,5/20/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2464,184800,1,,30.40021311,-97.8426445
2015-002785 BP,R- 101 Single Family Houses,New,7102 CUT PLAINS TRL,1/12/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3179,238425,1,,30.40021682,-97.84364022
2015-138416 BP,R- 101 Single Family Houses,New,7305 PRESERVE VIEW RUN,11/18/2015,"New 1-story Condominium Residence with attached garage, covered entry porch, and rear patio. **CONDOMINIUM PROJECT**",Active,2471,139800,1,,30.40023299,-97.84221665
2015-002607 BP,R- 101 Single Family Houses,New,7107 CUT PLAINS TRL,1/12/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,3257,244275,1,,30.40024883,-97.84311821
2015-002598 BP,R- 101 Single Family Houses,New,7104 CUT PLAINS TRL,1/12/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,3284,246300,1,,30.40032433,-97.84356535
2015-079688 BP,R- 101 Single Family Houses,New,7306 PRESERVE VIEW RUN,7/7/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3277,245775,1,,30.40033275,-97.84265848
2015-151263 BP,R- 101 Single Family Houses,New,10700 TWISTED ELM DR,12/22/2015,"New 1-story Condominium Residence with attached garage, covered entry porch and rear patio. **CONDOMINIUM RESIDENCE**",Active,2503,141150,1,,30.400335,-97.8444989
2015-048675 BP,R- 101 Single Family Houses,New,10905 TWISTED ELM DR,5/22/2015,"5/18/2015 need taps***New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3247,243525,1,,30.4003484,-97.84459712
2015-002713 BP,R- 101 Single Family Houses,New,7109 CUT PLAINS TRL,1/14/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Final,2550,191250,1,,30.40035116,-97.84303956
2015-030094 BP,R- 101 Single Family Houses,New,7106 CUT PLAINS TRL,3/20/2015,"New Two-story Condominium Residence with attached garage, covered patio and porch. **CONDOMINIUM PROJECT**",Active,3808,285600,1,,30.40042939,-97.84349213
2015-057618 BP,R- 101 Single Family Houses,New,10907 TWISTED ELM DR,5/22/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3808,285600,1,,30.40046403,-97.84472049
2015-065786 BP,R- 101 Single Family Houses,New,7309 PRESERVE VIEW RUN,6/3/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2449,183675,1,,30.40047905,-97.84224885
2015-002717 BP,R- 101 Single Family Houses,New,7108 CUT PLAINS TRL,1/12/2015,"New Two-story Condominium Residence with attached garage, covered patio and porch. **CONDOMINIUM PROJECT**",Final,3267,245025,1,,30.40053724,-97.84341498
2015-003116 BP,R- 101 Single Family Houses,New,7310 PRESERVE VIEW RUN,1/12/2015,"New Two-story Condominium Residence with attached garage, covered patio and porch. **CONDOMINIUM PROJECT**",Final,3247,243525,1,,30.4005771,-97.84270174
2015-056527 BP,R- 101 Single Family Houses,New,7311 PRESERVE VIEW RUN,5/20/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3277,245775,1,,30.40059769,-97.84226011
2015-135309 BP,R- 101 Single Family Houses,New,7110 CUT PLAINS TRL,11/12/2015,"New 1-story Condominium Residence with attached garage, covered entry porch, and rear patio. **CONDOMINIUM PROJECT**",Active,2475,220425,1,,30.40064318,-97.84333843
2015-068515 BP,R- 101 Single Family Houses,New,7312 PRESERVE VIEW RUN,7/16/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3176,238200,1,,30.40070105,-97.84271617
2015-066821 BP,R- 101 Single Family Houses,New,7313 PRESERVE VIEW RUN,6/4/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2449,183675,1,,30.40072406,-97.84227667
2015-012692 BP,R- 101 Single Family Houses,New,7112 CUT PLAINS TRL,2/4/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,3403,255225,1,,30.40074913,-97.84326189
2015-139698 BP,R- 101 Single Family Houses,New,7314 PRESERVE VIEW RUN,11/20/2015,"New 2-story Condominium Residence with attached garage, covered entry porch, and rear patio. **CONDOMINIUM PROJECT**",Active,3242,191850,1,,30.40082654,-97.84271182
2015-116433 BP,R- 101 Single Family Houses,New,7315 PRESERVE VIEW RUN,9/25/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3229,242175,1,,30.40084567,-97.84229336
2015-012559 BP,R- 101 Single Family Houses,New,7114 CUT PLAINS TRL,3/3/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3267,245025,1,,30.40085462,-97.84318645
2015-056530 BP,R- 101 Single Family Houses,New,7317 PRESERVE VIEW RUN,5/20/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2449,183675,1,,30.40096821,-97.84230893
2015-026966 BP,C- 327 Stores & Customer Services,New,10901 RESEARCH BLVD NB,3/12/2015,New Construction Restaurant,Active,5336,1044799,0,,30.40102847,-97.74486635
2015-026967 BP,C- 327 Stores & Customer Services,New,10901 RESEARCH BLVD NB,3/12/2015,New Construction (340sf) Trash Enclosure.,Active,340,14250,0,,30.40102847,-97.74486635
2015-123122 BP,R- 101 Single Family Houses,New,7118 CUT PLAINS TRL,10/12/2015,"New 1-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2483,186225,1,,30.40107102,-97.84301946
2015-007578 BP,R- 101 Single Family Houses,New,7319 PRESERVE VIEW RUN,1/23/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,3401,255075,1,,30.4010897,-97.84232011
2015-010229 BP,R- 101 Single Family Houses,New,10802 PALUXY PASS,1/28/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,3961,297075,1,,30.4011573,-97.84397409
2015-077751 BP,R- 101 Single Family Houses,New,7120 CUT PLAINS TRL,7/16/2015,"New Two-story Condominium Residence with attached garage, covered patio and porch. **CONDOMINIUM PROJECT**",Active,3247,243525,1,,30.40118069,-97.84291308
2015-038057 BP,R- 101 Single Family Houses,New,10804 PALUXY PASS,4/15/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3894,292050,1,,30.40132143,-97.84404653
2015-109984 BP,R- 101 Single Family Houses,New,10809 PALUXY PASS,9/25/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,3563,267225,1,,30.40145243,-97.84365183
2015-020997 BP,R- 101 Single Family Houses,New,10806 PALUXY PASS,3/20/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Active,2808,210600,1,,30.4014994,-97.84406441
2015-010213 BP,R- 101 Single Family Houses,New,7213 CUT PLAINS TRL,1/28/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Final,3409,255675,1,,30.40169143,-97.84169905
2015-148518 BP,R- 101 Single Family Houses,New,11115 CUT PLAINS LOOP,12/22/2015,"***12/14/15 need water taps***New 1-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2891,161550,1,,30.4017088,-97.8432574
2015-002706 BP,R- 101 Single Family Houses,New,11016 CUT PLAINS LOOP,1/14/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3428,257100,1,,30.4017318,-97.84384337
2015-057378 BP,C- 321 Pkg Garage Bldg & Open Deck,New,11600 ALTERRA PKWY,5/21/2015,New Parking Garage,Active,331886,7254000,1,LOT 1 RREEF DOMAIN RETAIL DISTRICT SUBD,30.40174711,-97.7198683
2015-100969 BP,C- 327 Stores & Customer Services,New,11600 ALTERRA PKWY,8/21/2015,New Construction for Shell Retail,Active,18400,1827750,1,LOT 1 RREEF DOMAIN RETAIL DISTRICT SUBD,30.40174711,-97.7198683
2015-039581 BP,R- 101 Single Family Houses,New,11014 CUT PLAINS LOOP,4/16/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio, covered balcony. **CONDOMINIUM RESIDENCE**",Active,3995,285600,1,,30.40181822,-97.84396629
2015-013795 BP,R- 101 Single Family Houses,New,11105 CUT PLAINS LOOP,3/2/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio.",Final,2766,207450,1,,30.40182556,-97.84343905
2015-150653 BP,R- 438 Residential Retaining Wall,New,5701 MISTY HILL CV,12/17/2015,New retaining wall over 20ft.,Active,,50000,,,30.401837,-97.762117
2015-150653 BP,R- 438 Residential Retaining Wall,New,5701 MISTY HILL CV,12/17/2015,New retaining wall over 20ft.,Active,,50000,,,30.401837,-97.762117
2015-150653 BP,R- 438 Residential Retaining Wall,New,5701 MISTY HILL CV,12/17/2015,New retaining wall over 20ft.,Active,,50000,,,30.401837,-97.762117
2015-150653 BP,R- 438 Residential Retaining Wall,New,5701 MISTY HILL CV,12/17/2015,New retaining wall over 20ft.,Active,,50000,,,30.401837,-97.762117
2015-136444 BP,C- 329 Com Structures Other Than Bldg ,New,11928 STONEHOLLOW DR,11/13/2015,New Shade Structure for Bus Stop.,Active,100,16850,0,,30.40188469,-97.7040132
2015-039185 BP,R- 101 Single Family Houses,New,11107 CUT PLAINS LOOP,4/16/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3905,292875,1,,30.40190092,-97.84330666
2015-085053 BP,R- 101 Single Family Houses,New,11111 CUT PLAINS LOOP,7/20/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio, covered balcony. **CONDOMINIUM RESIDENCE**",Active,2808,210600,1,,30.40204652,-97.8430147
2015-007577 BP,R- 101 Single Family Houses,New,11007 CUT PLAINS LOOP,1/23/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3905,292875,1,,30.40205615,-97.84358998
2015-030087 BP,R- 101 Single Family Houses,New,11005 CUT PLAINS LOOP,3/18/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3562,267150,1,,30.40215476,-97.84347462
2015-071256 BP,R- 101 Single Family Houses,New,11010 CUT PLAINS LOOP,6/12/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio, covered balcony. **CONDOMINIUM RESIDENCE**",Active,2808,210600,1,,30.40216752,-97.84397489
2015-005197 BP,"C- 213 Hotels, Motels, & Tourist Cabins",New,3121 PALM WAY,1/20/2015,New Construction (179147sf) Hotel / Motel. (REMAINING:First Floor to be SHELL) NOT FOR OCCUPANCY. contact Rusty @ 571 641 6571,Active,179147,24600000,168,,30.40220361,-97.72116124
2015-120048 BP,C- 329 Com Structures Other Than Bldg ,New,3121 PALM WAY,10/8/2015,"New Construction (2nd Floor) Accessory Swimming Pool, to existing Hotel.",Active,5000,20000,1,,30.40220361,-97.72116124
2015-139726 BP,R- 101 Single Family Houses,New,11117 CUT PLAINS LOOP,12/9/2015,"*** 11/23/15 via e-mail need water taps***New 2-story Condominium Residence with attached garage, covered entry porch and rear patio. **CONDOMINIUM RESIDENCE**",Active,3917,236025,1,,30.40220602,-97.84257343
2015-033021 BP,R- 101 Single Family Houses,New,11003 CUT PLAINS LOOP,4/10/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3894,292050,1,,30.40223373,-97.84333156
2015-007579 BP,R- 101 Single Family Houses,New,11008 CUT PLAINS LOOP,1/23/2015,New 2-story Condominium Residence with covered porch and patio.,Final,3905,292875,1,,30.40233385,-97.84388511
2015-092114 BP,R- 101 Single Family Houses,New,10915 CUT PLAINS LOOP,7/31/2015,New 1-story Condominium Residence with attached garage and covered porch and patio. **CONDOMINIUM RESIDENCE**,Active,2887,215775,1,,30.40235781,-97.8430331
2015-068529 BP,R- 101 Single Family Houses,New,10911 CUT PLAINS LOOP,7/16/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3519,263925,1,,30.40245211,-97.84273541
2015-058519 BP,R- 101 Single Family Houses,New,11006 CUT PLAINS LOOP,5/20/2015,"New 1-story Condominium Residence with attached garage, covered porch and patio, covered balcony. **CONDOMINIUM RESIDENCE**",Active,2808,210600,1,,30.40247062,-97.84376788
2015-030093 BP,R- 101 Single Family Houses,New,10907 CUT PLAINS LOOP,3/20/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.",Active,3524,264300,1,,30.40254791,-97.84243592
2015-039578 BP,R- 101 Single Family Houses,New,11004 CUT PLAINS LOOP,4/15/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3505,262875,1,,30.40257138,-97.84360575
2015-107785 BP,R- 101 Single Family Houses,New,10900 CUT PLAINS LOOP,9/8/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,3436,257700,1,,30.40264848,-97.84194946
2015-012143 BP,C- 105 Five or More Family Bldgs,New,3211 PALM WAY,2/3/2015,New Construction of Multi Family Residential Apts to include 1st floor Mail Room/Lobby and 2nd Floor Laundry/Apts Clubroom/Lounge Room,Active,99391,3987836,94,,30.40271266,-97.72307529
2015-120851 BP,R- 101 Single Family Houses,New,10914 CUT PLAINS LOOP,10/7/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,3914,293550,1,,30.40276069,-97.84312581
2015-107201 BP,R- 101 Single Family Houses,New,10912 CUT PLAINS LOOP,9/25/2015,"** 09/22/15 via email need water taps***New 2-story Condominium Residence with attached garage, covered porch and patio. **CONDOMINIUM RESIDENCE**",Active,3643,273225,1,,30.40281204,-97.84297642
2015-116434 BP,R- 101 Single Family Houses,New,10910 CUT PLAINS LOOP,9/25/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,3714,278550,1,,30.40285967,-97.84283241
2015-120847 BP,R- 101 Single Family Houses,New,10904 CUT PLAINS LOOP,10/7/2015,"New 2-story Condominium Residence with attached garage, covered porch and patio.**CONDOMINIUM RESIDENCE**",Active,3960,297000,1,,30.40286432,-97.84224618
2015-090888 BP,R- 101 Single Family Houses,New,10908 CUT PLAINS LOOP,7/29/2015,. New 1-story Condominium Residence with attached garage and covered porch and patio. **CONDOMINIUM RESIDENCE**,Active,2808,210600,1,,30.40290329,-97.84267881
2015-061781 BP,C- 321 Pkg Garage Bldg & Open Deck,New,11701 DOMAIN BLVD,5/26/2015,New Parking Garage,Active,164025,5036100,0,,30.40309243,-97.72046037
2015-072810 BP,C- 105 Five or More Family Bldgs,New,11701 DOMAIN BLVD BLDG 1A UNIT Z,6/23/2015,New Multi-Family Res Apts Bldgs (Over SHELL podium).,Active,32640,1370880,40,,30.40309243,-97.72046037
2015-072811 BP,C- 105 Five or More Family Bldgs,New,11701 DOMAIN BLVD BLDG 1B,6/23/2015,New Multi-Family Res Apts Bldgs containig 1st Flr Fitness/2nd Flr Club and Outdoor Terrace (Over SHELL podium),Active,104876,4412939,98,,30.40309243,-97.72046037
2015-072812 BP,C- 105 Five or More Family Bldgs,New,11701 DOMAIN BLVD BLDG 1C,6/23/2015,New Multi-Family Res Apts Bldg contains 1st Flr Mail/Trash;2nd Flr Lounge and Outdoor Terrace (Over SHELL podium).,Active,83718,3516156,80,,30.40309243,-97.72046037
2015-095903 BP,C- 329 Com Structures Other Than Bldg,New,11701 DOMAIN BLVD,8/20/2015,New Construction ( 1020 sf) accessory Swimming Pool to existing MultiFamily Res.,Active,1020,54100,0,,30.40309243,-97.72046037
2015-039985 BP,C- 327 Stores & Customer Services,New,11720 DOMAIN BLVD,4/9/2015,New Construction Retail Shawn @ 512 801 8380,Active,47940,11250000,0,LOT 5 RREEF DOMAIN RETAIL DISTRICT SUBD,30.40361003,-97.72127411
2015-012114 BP,C- 106 Mixed Use,New,11711 DOMAIN DR BLDG A,2/3/2015,"New Construction Mulit - Family Res above the Podium building A:Floors 2 -5 / 1st floor contains Leasing, Lobby and Mail. Fitness on 2nd & 3rd floor (open concept)",Active,134669,5060015,123,,30.40371868,-97.72329858
2015-012115 BP,C- 106 Mixed Use,New,11711 DOMAIN DR BLDG B,2/3/2015,"New Construction Mulit - Family Res above the Podium, Building B, Floors 2-5.",Active,130876,4808412,128,,30.40371868,-97.72329858
